latitude	longitude	timestamp	realtime
-22.8941501	-42.4657707	47502	11:59:23
-22.8941424	-42.4651913	56784	11:59:32
-22.8945659	-42.4632547	83574	11:59:59
-22.8948445	-42.4631949	96731	12:00:12
-22.894495	-42.4609399	131441	12:00:47
-22.8945118	-42.4600887	148311	12:01:04
-22.8941245	-42.4586998	166121	12:01:22
-22.8940599	-42.4584534	184465	12:01:40
-22.891914	-42.456016	225454	12:02:21
-22.8916349	-42.455555	239218	12:02:35
-22.8912081	-42.4551896	250681	12:02:46
-22.8894438	-42.454686	286005	12:03:22
