latitude	longitude	timestamp	realtime
-22.8746266	-42.4650557	137509	12:11:28
-22.8742114	-42.4648148	147493	12:11:38
-22.8606085	-42.4617903	263398	12:13:34
-22.8606085	-42.4617903	284735	12:13:55
-22.8606085	-42.4617903	303335	12:14:14
-22.872044	-42.4667802	318386	12:14:29
-22.8512337	-42.4598311	322493	12:14:33
-22.8512337	-42.4598311	344436	12:14:55
-22.8512337	-42.4598311	350159	12:15:02
-22.84772	-42.458162	373828	12:15:24
-22.8456548	-42.4589006	386539	12:15:37
-22.8456548	-42.4589006	399704	12:15:50
-22.8934485	-42.4689846	414886	12:16:05
