accelerometer_X	accelerometer_Y	accelerometer_Z	latitude	longitude	tilt	timestamp	realtime
-0.19393626	8.719949	4.63771	-22.8934485	-42.4689846	62	56	12:26:04
-0.2753416	8.784595	4.8292522	-22.8934485	-42.4689846	61	88	12:26:04
-0.39505535	8.7822	4.678413	-22.8934485	-42.4689846	62	127	12:26:04
-0.30886146	8.846846	4.2570205	-22.8934485	-42.4689846	64	176	12:26:04
-0.23224466	8.789383	4.767001	-22.8934485	-42.4689846	62	212	12:26:04
-0.49800915	8.789383	4.678413	-22.8934485	-42.4689846	62	246	12:26:04
-0.3902668	8.882759	4.350397	-22.8934485	-42.4689846	64	287	12:26:04
-0.20111908	8.796566	4.685596	-22.8934485	-42.4689846	62	327	12:26:04
-0.43815228	8.854029	4.7789726	-22.8934485	-42.4689846	62	368	12:26:04
-0.41420954	8.940222	4.3791285	-22.8934485	-42.4689846	64	406	12:26:04
-0.31604427	8.755863	4.764607	-22.8934485	-42.4689846	61	448	12:26:04
-0.4189981	8.79896	4.7933383	-22.8934485	-42.4689846	61	488	12:26:04
-0.31843856	8.846846	4.230684	-22.8934485	-42.4689846	64	530	12:26:04
-0.2753416	8.741497	4.7693954	-22.8934485	-42.4689846	61	571	12:26:04
-0.4740664	8.849239	4.697567	-22.8934485	-42.4689846	62	609	12:26:04
-0.39266106	8.889942	4.1947694	-22.8934485	-42.4689846	65	653	12:26:04
-0.3304099	8.827691	5.00164	-22.8934485	-42.4689846	60	692	12:26:04
-0.46927786	8.846846	4.8316464	-22.8934485	-42.4689846	61	729	12:26:04
-0.31365	8.827691	4.06069	-22.8934485	-42.4689846	65	770	12:26:04
-0.30646718	8.770228	4.8986864	-22.8934485	-42.4689846	61	812	12:26:04
-0.45730647	8.830086	4.865166	-22.8934485	-42.4689846	61	852	12:26:04
-0.3519584	8.885154	4.249838	-22.8934485	-42.4689846	64	889	12:26:04
-0.2753416	8.74868	5.0926223	-22.8934485	-42.4689846	60	932	12:26:04
-0.40223816	8.813326	4.73827	-22.8934485	-42.4689846	62	969	12:26:04
-0.2777359	8.8085375	4.103787	-22.8934485	-42.4689846	65	1011	12:26:05
-0.32801566	8.770228	5.0591025	-22.8934485	-42.4689846	60	1052	12:26:05
-0.44533512	8.707977	4.644893	-22.8934485	-42.4689846	62	1089	12:26:05
-0.31843856	8.897125	4.3863115	-22.8934485	-42.4689846	64	1129	12:26:05
-0.28252444	8.772623	4.8843207	-22.8934485	-42.4689846	61	1170	12:26:05
-0.47167215	8.777411	4.747847	-22.8934485	-42.4689846	62	1211	12:26:05
-0.2561874	8.901914	4.3168774	-22.8934485	-42.4689846	64	1253	12:26:05
-0.31843856	8.856422	5.0998054	-22.8934485	-42.4689846	60	1288	12:26:05
-0.40463245	8.693612	4.680807	-22.8934485	-42.4689846	62	1329	12:26:05
-0.22027329	8.945011	4.2905407	-22.8934485	-42.4689846	64	1371	12:26:05
-0.339987	8.767835	5.030371	-22.88894	-42.4736632	60	1407	12:26:05
-0.4836435	8.801354	4.685596	-22.88894	-42.4736632	62	1446	12:26:05
-0.35674694	8.91149	4.2235007	-22.88894	-42.4736632	65	1486	12:26:05
-0.30646718	8.79896	5.0854397	-22.88894	-42.4736632	60	1527	12:26:05
-0.38547826	8.796566	4.6065845	-22.88894	-42.4736632	62	1569	12:26:05
-0.2681588	8.913885	4.189981	-22.88894	-42.4736632	65	1609	12:26:05
-0.37111259	8.739103	5.238673	-22.88894	-42.4736632	59	1649	12:26:05
-0.6368771	8.777411	4.972909	-22.88894	-42.4736632	61	1687	12:26:05
-0.2753416	9.064724	4.618556	-22.88894	-42.4736632	63	1726	12:26:05
-0.11492519	8.499676	4.573065	-22.88894	-42.4736632	62	1770	12:26:05
-0.4860378	8.784595	4.8986864	-22.88894	-42.4736632	61	1808	12:26:05
-0.2849187	9.007262	4.163644	-22.88894	-42.4736632	65	1848	12:26:05
-0.39266106	8.789383	4.9776974	-22.88894	-42.4736632	61	1892	12:26:05
-0.6344828	8.710372	4.6568646	-22.88894	-42.4736632	62	1945	12:26:05
-0.4189981	8.681641	4.886715	-22.88894	-42.4736632	61	1985	12:26:05
-0.28731298	8.923462	4.0032277	-22.88894	-42.4736632	66	2032	12:26:06
-0.29210153	8.7822	5.3105016	-22.88894	-42.4736632	59	2070	12:26:06
-0.4836435	8.786988	4.723904	-22.88894	-42.4736632	62	2110	12:26:06
-0.11971374	8.966559	4.1780095	-22.88894	-42.4736632	65	2150	12:26:06
-0.24421602	8.707977	5.0207944	-22.88894	-42.4736632	60	2193	12:26:06
-0.26337022	8.612206	4.767001	-22.88894	-42.4736632	61	2230	12:26:06
-0.13886794	8.954588	4.348003	-22.88894	-42.4736632	64	2271	12:26:06
-0.27055305	8.60263	4.932206	-22.88894	-42.4736632	60	2309	12:26:06
-0.33759275	8.638543	4.6281333	-22.88894	-42.4736632	62	2350	12:26:06
-0.15562786	9.119793	4.556305	-22.88894	-42.4736632	63	2389	12:26:06
-0.29928434	8.6984005	4.9154463	-22.88894	-42.4736632	61	2431	12:26:06
-0.42139238	8.705584	4.6664414	-22.88894	-42.4736632	62	2508	12:26:06
-0.23224466	8.705584	4.843618	-22.88894	-42.4736632	61	2547	12:26:06
-0.47167215	8.655303	4.819675	-22.88894	-42.4736632	61	2585	12:26:06
