accelerometer_X;accelerometer_Y;accelerometer_Z;latitude;longitude;tilt;timestamp
-0.19393626;8.719949;4.63771;-22.8934485;-42.4689846;62;56
-0.2753416;8.784595;4.8292522;-22.8934485;-42.4689846;61;88
-0.39505535;8.7822;4.678413;-22.8934485;-42.4689846;62;127
-0.30886146;8.846846;4.2570205;-22.8934485;-42.4689846;64;176
-0.23224466;8.789383;4.767001;-22.8934485;-42.4689846;62;212
-0.49800915;8.789383;4.678413;-22.8934485;-42.4689846;62;246
-0.3902668;8.882759;4.350397;-22.8934485;-42.4689846;64;287
-0.20111908;8.796566;4.685596;-22.8934485;-42.4689846;62;327
-0.43815228;8.854029;4.7789726;-22.8934485;-42.4689846;62;368
-0.41420954;8.940222;4.3791285;-22.8934485;-42.4689846;64;406
-0.31604427;8.755863;4.764607;-22.8934485;-42.4689846;61;448
-0.4189981;8.79896;4.7933383;-22.8934485;-42.4689846;61;488
-0.31843856;8.846846;4.230684;-22.8934485;-42.4689846;64;530
-0.2753416;8.741497;4.7693954;-22.8934485;-42.4689846;61;571
-0.4740664;8.849239;4.697567;-22.8934485;-42.4689846;62;609
-0.39266106;8.889942;4.1947694;-22.8934485;-42.4689846;65;653
-0.3304099;8.827691;5.00164;-22.8934485;-42.4689846;60;692
-0.46927786;8.846846;4.8316464;-22.8934485;-42.4689846;61;729
-0.31365;8.827691;4.06069;-22.8934485;-42.4689846;65;770
-0.30646718;8.770228;4.8986864;-22.8934485;-42.4689846;61;812
-0.45730647;8.830086;4.865166;-22.8934485;-42.4689846;61;852
-0.3519584;8.885154;4.249838;-22.8934485;-42.4689846;64;889
-0.2753416;8.74868;5.0926223;-22.8934485;-42.4689846;60;932
-0.40223816;8.813326;4.73827;-22.8934485;-42.4689846;62;969
-0.2777359;8.8085375;4.103787;-22.8934485;-42.4689846;65;1011
-0.32801566;8.770228;5.0591025;-22.8934485;-42.4689846;60;1052
-0.44533512;8.707977;4.644893;-22.8934485;-42.4689846;62;1089
-0.31843856;8.897125;4.3863115;-22.8934485;-42.4689846;64;1129
-0.28252444;8.772623;4.8843207;-22.8934485;-42.4689846;61;1170
-0.47167215;8.777411;4.747847;-22.8934485;-42.4689846;62;1211
-0.2561874;8.901914;4.3168774;-22.8934485;-42.4689846;64;1253
-0.31843856;8.856422;5.0998054;-22.8934485;-42.4689846;60;1288
-0.40463245;8.693612;4.680807;-22.8934485;-42.4689846;62;1329
-0.22027329;8.945011;4.2905407;-22.8934485;-42.4689846;64;1371
-0.339987;8.767835;5.030371;-22.88894;-42.4736632;60;1407
-0.4836435;8.801354;4.685596;-22.88894;-42.4736632;62;1446
-0.35674694;8.91149;4.2235007;-22.88894;-42.4736632;65;1486
-0.30646718;8.79896;5.0854397;-22.88894;-42.4736632;60;1527
-0.38547826;8.796566;4.6065845;-22.88894;-42.4736632;62;1569
-0.2681588;8.913885;4.189981;-22.88894;-42.4736632;65;1609
-0.37111259;8.739103;5.238673;-22.88894;-42.4736632;59;1649
-0.6368771;8.777411;4.972909;-22.88894;-42.4736632;61;1687
-0.2753416;9.064724;4.618556;-22.88894;-42.4736632;63;1726
-0.11492519;8.499676;4.573065;-22.88894;-42.4736632;62;1770
-0.4860378;8.784595;4.8986864;-22.88894;-42.4736632;61;1808
-0.2849187;9.007262;4.163644;-22.88894;-42.4736632;65;1848
-0.39266106;8.789383;4.9776974;-22.88894;-42.4736632;61;1892
-0.6344828;8.710372;4.6568646;-22.88894;-42.4736632;62;1945
-0.4189981;8.681641;4.886715;-22.88894;-42.4736632;61;1985
-0.28731298;8.923462;4.0032277;-22.88894;-42.4736632;66;2032
-0.29210153;8.7822;5.3105016;-22.88894;-42.4736632;59;2070
-0.4836435;8.786988;4.723904;-22.88894;-42.4736632;62;2110
-0.11971374;8.966559;4.1780095;-22.88894;-42.4736632;65;2150
-0.24421602;8.707977;5.0207944;-22.88894;-42.4736632;60;2193
-0.26337022;8.612206;4.767001;-22.88894;-42.4736632;61;2230
-0.13886794;8.954588;4.348003;-22.88894;-42.4736632;64;2271
-0.27055305;8.60263;4.932206;-22.88894;-42.4736632;60;2309
-0.33759275;8.638543;4.6281333;-22.88894;-42.4736632;62;2350
-0.15562786;9.119793;4.556305;-22.88894;-42.4736632;63;2389
-0.29928434;8.6984005;4.9154463;-22.88894;-42.4736632;61;2431
-0.42139238;8.705584;4.6664414;-22.88894;-42.4736632;62;2508
-0.23224466;8.705584;4.843618;-22.88894;-42.4736632;61;2547
-0.47167215;8.655303;4.819675;-22.88894;-42.4736632;61;2585
-0.21069619;9.071907;4.477294;-22.88894;-42.4736632;64;2630
-0.2944958;8.743892;4.9609375;-22.88894;-42.4736632;60;2669
-0.31843856;8.672064;4.8292522;-22.88894;-42.4736632;61;2706
-0.18675344;9.052753;4.532362;-22.88894;-42.4736632;63;2748
-0.28970724;8.597841;4.8819265;-22.88894;-42.4736632;60;2787
-0.4189981;8.777411;5.0207944;-22.88894;-42.4736632;60;2830
-0.22266756;8.925857;4.410254;-22.88894;-42.4736632;64;2867
-0.23942748;8.684034;4.9346004;-22.88894;-42.4736632;60;2908
-0.36871833;8.746285;4.7765784;-22.88894;-42.4736632;61;2947
-0.24421602;9.004868;4.37434;-22.88894;-42.4736632;64;2986
-0.27055305;8.667274;4.8819265;-22.88894;-42.4736632;61;3027
-0.3615355;8.775017;5.0231886;-22.88894;-42.4736632;60;3068
-0.13647367;8.897125;4.4198313;-22.88894;-42.4736632;64;3110
-0.19393626;8.6433325;4.8843207;-22.88894;-42.4736632;61;3150
-0.35435268;8.712766;4.862772;-22.88894;-42.4736632;61;3190
-0.26337022;9.024022;4.5251794;-22.88894;-42.4736632;63;3227
-0.2944958;8.693612;4.860378;-22.88894;-42.4736632;61;3268
-0.41420954;8.655303;4.6712303;-22.88894;-42.4736632;62;3308
-0.105348095;8.990502;4.522785;-22.88894;-42.4736632;63;3350
-0.18914771;8.595447;4.723904;-22.88894;-42.4736632;61;3390
-0.36392978;8.614601;4.7334814;-22.88894;-42.4736632;61;3429
-0.16041641;9.110215;4.6305275;-22.88894;-42.4736632;63;3466
-0.2753416;8.667274;4.7717896;-22.88894;-42.4736632;61;3505
-0.34477556;8.4781275;4.5970078;-22.88894;-42.4736632;62;3549
-0.11013664;9.026416;4.4054656;-22.88894;-42.4736632;64;3590
-0.30646718;8.593052;4.810098;-22.88894;-42.4736632;61;3629
-0.43336374;8.636149;4.7071443;-22.88894;-42.4736632;61;3668
-0.2083019;8.985713;4.577853;-22.88894;-42.4736632;63;3709
-0.25858167;8.676852;4.6329217;-22.88894;-42.4736632;62;3749
-0.31843856;8.573898;4.616162;-22.88894;-42.4736632;62;3787
-0.11013664;9.105427;4.640105;-22.88894;-42.4736632;63;3829
-0.14605077;8.739103;4.678413;-22.88894;-42.4736632;62;3869
-0.35914123;8.626573;5.025583;-22.88894;-42.4736632;60;3910
-0.031125572;8.966559;4.7095385;-22.88894;-42.4736632;62;3949
-0.15802214;8.806143;4.8723493;-22.88894;-42.4736632;61;3989
-0.53392327;8.549955;4.747847;-22.88894;-42.4736632;61;4032
-0.44054657;8.906702;4.4270144;-22.88894;-42.4736632;64;4065
-0.55307746;8.535589;4.5850363;-22.88894;-42.4736632;62;4108
-0.6488485;8.509253;4.3958883;-22.88894;-42.4736632;63;4150
-0.13647367;9.246689;4.5467277;-22.88894;-42.4736632;64;4192
0.08619389;8.990502;4.846012;-22.88894;-42.4736632;62;4230
0.04070267;8.873182;4.9010806;-22.88894;-42.4736632;61;4269
0.30167863;9.100638;5.0423427;-22.88894;-42.4736632;61;4309
0.16281068;8.626573;5.2314906;-22.88894;-42.4736632;59;4349
-0.20111908;8.693612;4.9800916;-22.88894;-42.4736632;60;4390
-0.34477556;9.170073;4.867561;-22.88894;-42.4736632;62;4429
-0.38787252;8.796566;4.853195;-22.88894;-42.4736632;61;4467
-0.679974;8.839663;4.7071443;-22.88894;-42.4736632;62;4508
-0.42139238;9.134158;4.295329;-22.88894;-42.4736632;65;4549
-0.32083282;8.76544;4.5970078;-22.88894;-42.4736632;62;4593
-0.44533512;8.662486;4.565882;-22.88894;-42.4736632;62;4627
