latitude	longitude	timestamp	realtime
-22.8901896	-42.4734754	39815	12:26:43
-22.8917998	-42.4728921	57190	12:27:00
-22.8925621	-42.471884	80661	12:27:24
-22.8951418	-42.47153	114243	12:27:58
-22.8954505	-42.471971	126447	12:28:10
-22.9016045	-42.4746955	201781	12:29:25
-22.904928	-42.4750547	257588	12:30:21
-22.90711	-42.4755731	283343	12:30:47
-22.9082611	-42.4758424	301553	12:31:05
-22.9103955	-42.4761098	341423	12:31:45
-22.9133523	-42.4764882	374167	12:32:18
-22.915664	-42.476912	407334	12:32:51
-22.9168112	-42.4760299	452421	12:33:36
-22.9169286	-42.4756236	464685	12:33:48
