accelerometer_X;accelerometer_Y;accelerometer_Z;latitude;longitude;tilt;timestamp
-0.53392327;8.909097;4.3695517;-22.9449273;-43.2546383;64;65
-0.33519846;8.796566;4.230684;-22.9449273;-43.2546383;64;95
-0.34716985;8.868394;5.114171;-22.9449273;-43.2546383;60;133
-0.52674043;8.540379;4.9346004;-22.9449273;-43.2546383;60;176
-0.35674694;8.827691;4.285752;-22.9449273;-43.2546383;64;212
-0.29928434;8.844451;5.2697988;-22.9449273;-43.2546383;59;253
-0.52674043;8.614601;4.9968514;-22.9449273;-43.2546383;60;292
-0.41420954;8.810931;4.1612496;-22.9449273;-43.2546383;65;332
-0.28970724;8.8085375;5.3966956;-22.9449273;-43.2546383;59;372
-0.5243462;8.624178;4.867561;-22.9449273;-43.2546383;61;411
-0.34477556;8.810931;4.146884;-22.9449273;-43.2546383;65;452
-0.27055305;8.794171;5.28177;-22.9449273;-43.2546383;59;496
-0.5650489;8.688824;4.989669;-22.9449273;-43.2546383;60;539
-0.39505535;8.779806;4.0966043;-22.9449273;-43.2546383;65;576
-0.28252444;8.719949;5.253039;-22.9449273;-43.2546383;59;617
-0.5147691;8.573898;4.743058;-22.9449273;-43.2546383;61;657
-0.3519584;8.751075;4.103787;-22.9449273;-43.2546383;65;696
-0.2753416;8.712766;5.195576;-22.9449273;-43.2546383;59;737
-0.5219519;8.605023;5.1021996;-22.9449273;-43.2546383;59;778
-0.34477556;8.806143;3.8883023;-22.9449273;-43.2546383;66;815
-0.339987;8.76544;5.454158;-22.9449273;-43.2546383;58;856
-0.4764607;8.703189;5.071074;-22.9449273;-43.2546383;60;894
-0.44533512;8.779806;3.7853484;-22.9449273;-43.2546383;67;934
-0.3232271;8.796566;5.4158497;-22.9449273;-43.2546383;58;974
-0.5219519;8.626573;4.946572;-22.9449273;-43.2546383;60;1013
-0.38308397;8.858817;4.048719;-22.9449273;-43.2546383;65;1056
-0.32562137;8.777411;5.334444;-22.9449273;-43.2546383;59;1097
-0.56265455;8.657698;4.9776974;-22.9449273;-43.2546383;60;1133
-0.42139238;8.786988;4.0798445;-22.9449273;-43.2546383;65;1175
-0.3232271;8.767835;5.1644506;-22.9449273;-43.2546383;60;1213
-0.53871185;8.540379;4.8316464;-22.9449273;-43.2546383;61;1257
-0.339987;8.892337;4.233078;-22.9449273;-43.2546383;65;1298
-0.35435268;8.803748;5.3368387;-22.9449273;-43.2546383;59;1334
-0.5363176;8.628966;4.96812;-22.9449273;-43.2546383;60;1374
-0.4166038;8.825297;4.1588554;-22.930059;-42.4814457;65;1412
-0.31604427;8.717555;5.0375543;-22.930059;-42.4814457;60;1454
-0.46927786;8.717555;5.1261425;-22.930059;-42.4814457;60;1491
-0.35914123;8.825297;4.163644;-22.930059;-42.4814457;65;1533
-0.28013015;8.74868;5.3703585;-22.930059;-42.4814457;58;1577
-0.4764607;8.717555;5.097411;-22.930059;-42.4814457;60;1616
-0.43815228;8.837268;4.1780095;-22.930059;-42.4814457;65;1657
-0.28013015;8.691217;5.1859994;-22.930059;-42.4814457;59;1695
-0.5770202;8.631361;4.9346004;-22.930059;-42.4814457;60;1736
-0.46927786;8.877971;4.3911;-22.930059;-42.4814457;64;1774
-0.31125572;8.705584;5.1788163;-22.930059;-42.4814457;59;1817
-0.45730647;8.772623;5.0830455;-22.930059;-42.4814457;60;1854
-0.36632404;8.7534685;4.235472;-22.930059;-42.4814457;64;1935
-0.4189981;8.870789;5.33205;-22.930059;-42.4814457;59;1978
