latitude	longitude	timestamp	realtime
-22.9286483	-42.4811697	51621	11:48:33
-22.9281836	-42.4805009	64907	11:48:46
-22.9265323	-42.4794881	78666	11:49:00
-22.9265323	-42.4794881	85306	11:49:07
-22.9265323	-42.4794881	94822	11:49:16
-22.9258309	-42.4780905	100980	11:49:22
-22.9233115	-42.4766703	127804	11:49:49
-22.9229054	-42.4762326	140490	11:50:02
-22.9168526	-42.4755579	215738	11:51:17
-22.9169432	-42.4758873	226842	11:51:28
-22.9158284	-42.4770084	267371	11:52:09
-22.9124441	-42.4764973	295176	11:52:37
-22.9103804	-42.4761106	323678	11:53:05
-22.9102834	-42.4761786	345971	11:53:27
-22.9102834	-42.4761786	363125	11:53:45
-22.9019055	-42.4747594	388927	11:54:10
-22.9019055	-42.4747594	426269	11:54:48
