latitude;longitude;timestamp
-22.9286483;-42.4811697;51395
-22.9281836;-42.4805009;65473
-22.9265323;-42.4794881;78637
-22.9265323;-42.4794881;85536
-22.9265323;-42.4794881;94911
-22.9258309;-42.4780905;100957
-22.9233115;-42.4766703;128517
-22.9229054;-42.4762326;140344
-22.9168526;-42.4755579;215571
-22.9169432;-42.4758873;226648
-22.9158284;-42.4770084;267796
-22.9124441;-42.4764973;295768
-22.9103804;-42.4761106;323957
-22.9102834;-42.4761786;345910
-22.9102834;-42.4761786;363448
-22.9019055;-42.4747594;388712
-22.9019055;-42.4747594;426075
