accelerometer_X	accelerometer_Y	accelerometer_Z	latitude	longitude	tilt	timestamp	datetime
0.9313729	7.082265	8.351231	-22.8419953	-43.2390013	41	52	2018-03-15T11:01:43.303Z
1.5012103	5.9473786	6.5627074	-22.8419953	-43.2390013	43	94	2018-03-15T11:01:43.345Z
0.031125572	6.344828	8.784595	-22.8419953	-43.2390013	36	134	2018-03-15T11:01:43.385Z
0.96489275	5.439792	8.181237	-22.8419953	-43.2390013	34	173	2018-03-15T11:01:43.424Z
0.66800267	6.3711653	8.605023	-22.8419953	-43.2390013	37	214	2018-03-15T11:01:43.465Z
-0.51955765	6.2921543	8.284191	-22.8419953	-43.2390013	37	253	2018-03-15T11:01:43.504Z
0.31604427	5.566689	6.91706	-22.8419953	-43.2390013	39	292	2018-03-15T11:01:43.544Z
0.51955765	6.646507	8.063917	-22.8419953	-43.2390013	40	332	2018-03-15T11:01:43.583Z
-0.2083019	7.022408	5.7462597	-22.8419953	-43.2390013	51	372	2018-03-15T11:01:43.623Z
0.31365	7.735902	7.249864	-22.8419953	-43.2390013	47	414	2018-03-15T11:01:43.665Z
0.51955765	7.695199	7.6688623	-22.8419953	-43.2390013	45	453	2018-03-15T11:01:43.704Z
-0.45251793	7.0439563	9.395134	-22.8419953	-43.2390013	37	494	2018-03-15T11:01:43.745Z
1.7645805	5.31529	6.517216	-22.8419953	-43.2390013	41	533	2018-03-15T11:01:43.784Z
0.5985687	7.970541	6.7734036	-22.8419953	-43.2390013	50	573	2018-03-15T11:01:43.824Z
0.035914123	5.7127395	6.2945485	-22.8419953	-43.2390013	42	613	2018-03-15T11:01:43.864Z
0.90024734	6.998465	9.296969	-22.8419953	-43.2390013	37	656	2018-03-15T11:01:43.907Z
1.0678465	7.5084457	5.446975	-22.8419953	-43.2390013	54	693	2018-03-15T11:01:43.945Z
1.4605076	9.026416	7.3671837	-22.8419953	-43.2390013	51	733	2018-03-15T11:01:43.984Z
1.5059988	5.8252707	8.458973	-22.8419953	-43.2390013	35	777	2018-03-15T11:01:44.028Z
1.6185298	6.6800265	6.596227	-22.8419953	-43.2390013	46	817	2018-03-15T11:01:44.068Z
0.21787901	5.952167	6.794952	-22.8419953	-43.2390013	41	853	2018-03-15T11:01:44.104Z
0.9792584	9.311335	8.454185	-22.8419953	-43.2390013	48	895	2018-03-15T11:01:44.146Z
1.6257126	7.515629	4.1756153	-22.8419953	-43.2390013	61	934	2018-03-15T11:01:44.185Z
1.0247496	8.707977	6.797346	-22.8419953	-43.2390013	52	973	2018-03-15T11:01:44.224Z
0.5794145	6.3903193	7.2594414	-22.8419953	-43.2390013	41	1013	2018-03-15T11:01:44.264Z
0.1987248	7.9394155	6.9146657	-22.8419953	-43.2390013	49	1055	2018-03-15T11:01:44.306Z
-0.17238778	7.467743	5.1357193	-22.8419953	-43.2390013	55	1095	2018-03-15T11:01:44.346Z
-0.88588166	5.9210415	2.9377751	-22.8419953	-43.2390013	64	1135	2018-03-15T11:01:44.386Z
0.090982445	7.2881727	7.7694216	-22.8419953	-43.2390013	43	1175	2018-03-15T11:01:44.426Z
0.0	8.133351	7.867587	-22.8419953	-43.2390013	46	1214	2018-03-15T11:01:44.465Z
0.17717634	6.4956675	4.846012	-22.8419953	-43.2390013	53	1254	2018-03-15T11:01:44.506Z
-0.65363705	7.388732	7.024802	-22.8419953	-43.2390013	47	1295	2018-03-15T11:01:44.547Z
-1.3934679	6.7039695	8.92825	-22.8419953	-43.2390013	37	1334	2018-03-15T11:01:44.585Z
0.2944958	7.8891354	8.940222	-22.8419953	-43.2390013	41	1374	2018-03-15T11:01:44.625Z
0.035914123	7.249864	6.9481854	-22.8419953	-43.2390013	46	1413	2018-03-15T11:01:44.664Z
-0.9026416	7.2091613	6.1652575	-22.8590513	-43.2310546	50	1451	2018-03-15T11:01:44.702Z
-0.5123748	7.843644	7.312115	-22.8590513	-43.2310546	47	1497	2018-03-15T11:01:44.748Z
