accelerometer_X	accelerometer_Y	accelerometer_Z	latitude	longitude	tilt	timestamp	datetime
0.5027977	7.3576064	6.969734	-22.842895	-43.2344235	47	48	2018-03-15T11:13:51.514Z
0.27294734	7.395915	7.4007034	-22.842895	-43.2344235	45	97	2018-03-15T11:13:51.563Z
0.53392327	7.5850625	7.048745	-22.842895	-43.2344235	47	137	2018-03-15T11:13:51.603Z
0.6464542	7.307327	6.7015753	-22.842895	-43.2344235	48	179	2018-03-15T11:13:51.645Z
0.031125572	7.5252056	6.447782	-22.842895	-43.2344235	49	217	2018-03-15T11:13:51.683Z
-0.2083019	7.1971903	7.534783	-22.842895	-43.2344235	44	258	2018-03-15T11:13:51.724Z
0.035914123	6.936214	6.5052447	-22.842895	-43.2344235	47	297	2018-03-15T11:13:51.763Z
0.15083931	7.1660647	6.6704497	-22.842895	-43.2344235	47	338	2018-03-15T11:13:51.804Z
0.22745611	6.63693	6.179623	-22.842895	-43.2344235	47	377	2018-03-15T11:13:51.843Z
0.22027329	7.0726876	6.524399	-22.842895	-43.2344235	47	419	2018-03-15T11:13:51.885Z
0.37350687	6.998465	6.325674	-22.842895	-43.2344235	48	458	2018-03-15T11:13:51.924Z
0.18914771	7.4007034	6.25624	-22.842895	-43.2344235	50	498	2018-03-15T11:13:51.965Z
0.44533512	7.0343795	6.6081986	-22.842895	-43.2344235	47	540	2018-03-15T11:13:52.006Z
0.31843856	7.6018224	6.814106	-22.842895	-43.2344235	48	578	2018-03-15T11:13:52.044Z
0.38547826	7.415069	6.5579185	-22.842895	-43.2344235	49	621	2018-03-15T11:13:52.087Z
0.5219519	7.7143536	6.943397	-22.842895	-43.2344235	48	662	2018-03-15T11:13:52.128Z
0.045491222	7.170853	6.1987777	-22.842895	-43.2344235	49	697	2018-03-15T11:13:52.164Z
0.25139886	7.005648	6.718335	-22.842895	-43.2344235	46	738	2018-03-15T11:13:52.204Z
0.031125572	7.099025	6.529187	-22.842895	-43.2344235	47	780	2018-03-15T11:13:52.246Z
-0.22027329	7.355212	6.694392	-22.842895	-43.2344235	48	820	2018-03-15T11:13:52.286Z
-0.12210801	7.8388557	7.0559278	-22.842895	-43.2344235	48	860	2018-03-15T11:13:52.326Z
0.12210801	7.101419	6.0263896	-22.842895	-43.2344235	50	900	2018-03-15T11:13:52.366Z
0.19633053	7.6975937	7.187613	-22.842895	-43.2344235	47	940	2018-03-15T11:13:52.406Z
0.18435916	7.6113997	6.529187	-22.842895	-43.2344235	49	979	2018-03-15T11:13:52.445Z
0.016759925	8.209969	6.2490573	-22.842895	-43.2344235	53	1028	2018-03-15T11:13:52.495Z
0.30886146	6.718335	5.933013	-22.842895	-43.2344235	49	1060	2018-03-15T11:13:52.526Z
0.08140534	7.405492	5.940196	-22.842895	-43.2344235	51	1099	2018-03-15T11:13:52.565Z
-0.076616794	7.9968777	6.280183	-22.842895	-43.2344235	52	1140	2018-03-15T11:13:52.606Z
0.0	7.4605603	6.821289	-22.842895	-43.2344235	48	1179	2018-03-15T11:13:52.645Z
-0.28731298	7.556331	6.572284	-22.842895	-43.2344235	49	1219	2018-03-15T11:13:52.686Z
-0.18914771	7.8627987	6.490879	-22.842895	-43.2344235	50	1258	2018-03-15T11:13:52.724Z
0.40223816	7.9753294	6.8260775	-22.842895	-43.2344235	49	1299	2018-03-15T11:13:52.766Z
0.4740664	7.678439	5.748654	-22.842895	-43.2344235	53	1337	2018-03-15T11:13:52.803Z
0.45251793	7.867587	6.2682114	-22.842895	-43.2344235	52	1385	2018-03-15T11:13:52.851Z
0.11971374	7.0702934	5.6361227	-22.8589766	-43.23083	51	1419	2018-03-15T11:13:52.885Z
-0.16281068	7.9346266	5.5954204	-22.8589766	-43.23083	55	1457	2018-03-15T11:13:52.923Z
-0.098165266	8.178843	6.2921543	-22.8589766	-43.23083	52	1498	2018-03-15T11:13:52.964Z
0.5363176	7.379155	6.344828	-22.8589766	-43.23083	49	1538	2018-03-15T11:13:53.004Z
0.24182175	7.0966306	5.4900723	-22.8589766	-43.23083	52	1577	2018-03-15T11:13:53.043Z
0.5985687	8.020821	7.225921	-22.8589766	-43.23083	48	1620	2018-03-15T11:13:53.086Z
0.27055305	7.24747	5.935407	-22.8589766	-43.23083	51	1657	2018-03-15T11:13:53.123Z
0.339987	8.102226	6.5555243	-22.8589766	-43.23083	51	1702	2018-03-15T11:13:53.168Z
-0.29689008	8.051947	7.719142	-22.8589766	-43.23083	46	1740	2018-03-15T11:13:53.206Z
