PotHole,SpeedBump,Epochs,BatchSize,Neuronios_LSTM,Dropout,Acc,DD,DP,DS,PD,PP,PS,SD,SP,SS
1,1,120,200,100,0.1,85.69,1323,41.0,0,196,96,0,0,0,0
1,1,120,250,100,0.1,84.36,1299,67.0,0,192,98,0,0,0,0
1,1,120,300,100,0.1,83.03,1287,73.0,0,208,88,0,0,0,0
1,1,120,350,100,0.1,82.55,1308,52.0,0,237,59,0,0,0,0
1,1,120,400,100,0.1,83.33,1297,74.0,0,202,83,0,0,0,0
1,1,120,150,100,0.1,83.76,1300,69.0,0,200,87,0,0,0,0
1,1,130,100,100,0.1,83.21,1330,37.0,0,241,48,0,0,0,0
1,1,130,150,100,0.1,82.55,1285,76.0,0,213,82,0,0,0,0
1,1,130,200,100,0.1,83.94,1296,60.0,0,206,94,0,0,0,0
1,1,130,300,100,0.1,83.15,1270,90.0,0,189,107,0,0,0,0
1,1,130,350,100,0.1,82.37,1289,79.0,0,213,75,0,0,0,0
1,1,130,400,100,0.1,81.94,1281,86.0,0,213,76,0,0,0,0
1,1,130,250,100,0.1,84.18,1295,76.0,0,186,99,0,0,0,0
1,1,140,100,100,0.1,84.72,1301,59.0,0,194,102,0,0,0,0
1,1,140,150,100,0.1,83.57,1296,70.0,0,202,88,0,0,0,0
1,1,140,200,100,0.1,84.48,1303,63.0,0,194,96,0,0,0,0
1,1,140,250,100,0.1,82.97,1276,84.0,0,198,98,0,0,0,0
1,1,140,300,100,0.1,82.37,1300,71.0,0,221,64,0,0,0,0
1,1,140,400,100,0.1,83.15,1279,84.0,0,195,98,0,0,0,0
1,1,140,350,100,0.1,81.82,1276,85.0,0,216,79,0,0,0,0
1,1,150,100,100,0.1,83.03,1292,75.0,0,206,83,0,0,0,0
1,1,150,150,100,0.1,84.54,1304,60.0,0,196,96,0,0,0,0
1,1,150,200,100,0.1,81.04,1267,94.0,0,220,75,0,0,0,0
1,1,150,250,100,0.1,84.3,1307,63.0,0,197,89,0,0,0,0
1,1,150,300,100,0.1,83.27,1288,81.0,0,196,91,0,0,0,0
1,1,150,350,100,0.1,81.88,1275,89.0,0,211,81,0,0,0,0
1,1,160,100,100,0.1,82.97,1301,66.0,0,216,73,0,0,0,0
1,1,150,400,100,0.1,84.24,1308,57.0,0,204,87,0,0,0,0
1,1,160,150,100,0.1,82.67,1285,82.0,0,205,84,0,0,0,0
1,1,160,200,100,0.1,83.39,1272,89.0,0,186,109,0,0,0,0
1,1,160,250,100,0.1,82.13,1260,111.0,0,185,100,0,0,0,0
1,1,160,300,100,0.1,82.43,1293,73.0,0,218,72,0,0,0,0
1,1,160,350,100,0.1,82.97,1285,71.0,0,211,89,0,0,0,0
1,1,110,200,100,0.1,83.33,1294,79.0,0,197,86,0,0,0,0
1,1,110,250,100,0.1,82.0,1263,108.0,0,190,95,0,0,0,0
1,1,110,100,100,0.1,82.55,1305,66.0,0,223,62,0,0,0,0
1,1,110,300,100,0.1,82.91,1286,80.0,0,203,87,0,0,0,0
1,1,110,350,100,0.1,84.18,1325,43.0,0,219,69,0,0,0,0
1,1,110,400,100,0.1,81.7,1259,110.0,0,193,94,0,0,0,0
1,1,120,100,100,0.1,83.09,1286,83.0,0,197,90,0,0,0,0
1,1,110,150,100,0.1,84.48,1299,66.0,0,191,100,0,0,0,0
1,1,160,400,100,0.1,81.88,1274,90.0,0,210,82,0,0,0,0
1,1,100,200,120,0.1,83.64,1288,72.0,0,199,97,0,0,0,0
1,1,100,400,120,0.1,83.09,1283,83.0,0,197,93,0,0,0,0
1,1,100,300,120,0.1,81.94,1265,95.0,0,204,92,0,0,0,0
1,1,170,100,100,0.1,83.33,1281,88.0,0,188,99,0,0,0,0
1,1,200,100,120,0.1,84.42,1303,65.0,0,193,95,0,0,0,0
1,1,200,200,120,0.1,84.9,1296,68.0,0,182,110,0,0,0,0
1,1,200,300,120,0.1,82.25,1271,85.0,0,209,91,0,0,0,0
1,1,170,150,100,0.1,83.57,1300,70.0,0,202,84,0,0,0,0
1,1,170,200,100,0.1,83.64,1303,63.0,0,208,82,0,0,0,0
1,1,170,250,100,0.1,83.51,1298,67.0,0,206,85,0,0,0,0
1,1,170,300,100,0.1,80.98,1281,89.0,0,226,60,0,0,0,0
1,1,170,350,100,0.1,83.51,1291,81.0,0,192,92,0,0,0,0
1,1,170,400,100,0.1,83.15,1275,91.0,0,188,102,0,0,0,0
1,1,100,100,120,0.1,82.73,1277,87.0,0,199,93,0,0,0,0
